name,city,address,province,postal_code,latitude,longitude,is_active,notes
ICBC Driver Licensing (Road Tests Only),,"46052 Chilliwack Central Rd, Chilliwack, BC V2P 4Y8, Canada",BC,V2P 4Y8,49.1612197,-121.9504116,TRUE,
ICBC Claim Centre,Abbotsford,"2885 Trethewey St, Abbotsford, BC V2T3R2, Canada",BC,V2T3R2,49.0545519,-122.3268357,TRUE,
ICBC Driver Licensing,Abbotsford,"31935 South Fraser Way #150, Abbotsford, BC V2T 1V5, Canada",BC,V2T 1V5,49.0500652,-122.3388247,TRUE,
ICBC Claim Centre,Burnaby,"4399 Wayburne Dr, Burnaby, BC V5G 3X7, Canada",BC,V5G 3X7,49.2445556,-122.9989364,TRUE,
ICBC Collision Repair Learning Centre,Burnaby,"8350 Eastlake Dr, Burnaby, BC V5A 4P6, Canada",BC,V5A 4P6,49.2572316,-122.9226655,TRUE,
ICBC Driver Licensing,Burnaby,"3880 Lougheed Hwy., Burnaby, BC V5C 6N4, Canada",BC,V5C 6N4,49.265110299999996,-123.0184512,TRUE,
ICBC Driver Licensing,Burnaby,"4820 Kingsway #232, Burnaby, BC V5H 4P2, Canada",BC,V5H 4P2,49.2255022,-122.996501,TRUE,
Coquitlam Centre,Coquitlam,"2929 Barnet Hwy Unit 2201, Coquitlam, BC V3B 5R5, Canada",BC,V3B 5R5,49.279292299999994,-122.7985727,TRUE,
ICBC Claim Centre,Coquitlam,"100 Blue Mountain St, Coquitlam, BC V3K 1A2, Canada",BC,V3K 1A2,49.234652499999996,-122.8742451,TRUE,
ICBC Driver Licensing (Commercial Road Tests Only),Coquitlam,"1575 Hartley Ave, Coquitlam, BC V3K 6Z7, Canada",BC,V3K 6Z7,49.2272548,-122.8453402,TRUE,
ICBC Claim Centre,Kamloops,"1251 Battle Street, Kamloops, BC V2C 2N7, Canada",BC,V2C 2N7,50.67277,-120.3106137,TRUE,
ICBC Driver Licensing,Kamloops,"937 Concordia Way, Kamloops, BC V2C 6K7, Canada",BC,V2C 6K7,50.673426299999996,-120.3769236,TRUE,
OH&S Safety Consulting and Training Solutions,Kamloops,"825 Laval Crescent, Kamloops, BC V2C 5P2, Canada",BC,V2C 5P2,50.6607779,-120.360481,TRUE,
ICBC Driver Licensing,Kelowna,"1720 Springfield Rd, Kelowna, BC V1Y 7W2, Canada",BC,V1Y 7W2,49.8774338,-119.4605901,TRUE,
ICBC Driver Licensing,Kelowna,"3731 Old Okanagan Hwy #201, Kelowna, BC V4T 0G7, Canada",BC,V4T 0G7,49.827749999999995,-119.62387,TRUE,
SafetyBC Kelowna,Kelowna,"151 Commercial Dr #203, Kelowna, BC V1X 7W2, Canada",BC,V1X 7W2,49.9152689,-119.3879236,TRUE,
ICBC Driver Licensing,Langley,"19950 Willowbrook Dr j7, Langley Twp, BC V2Y 1A2, Canada",BC,V2Y 1A2,49.1163172,-122.6701051,TRUE,
ICBC Claim Centre,Maple Ridge,"22811 Dewdney Trunk Rd, Maple Ridge, BC V2X 9J7, Canada",BC,V2X 9J7,49.220475099999994,-122.5889011,TRUE,
Justice Institute Of British Columbia,Maple Ridge,"13500 256 St, Maple Ridge, BC V4R 1C9, Canada",BC,V4R 1C9,49.247139999999995,-122.508641,TRUE,
ICBC Claim Centre,Nanaimo,"6460 Applecross Rd, Nanaimo, BC V9V 1K8, Canada",BC,V9V 1K8,49.236564800000004,-124.0422408,TRUE,
ICBC Driver Licensing,Nanaimo,"6475 Metral Dr, Nanaimo, BC V9T 6K2, Canada",BC,V9T 6K2,49.233653399999994,-124.0470536,TRUE,
ICBC Claim Centre,New Westminster,"1320 3rd Ave, New Westminster, BC V3M 5T4, Canada",BC,V3M 5T4,49.2015463,-122.9267087,TRUE,
New Westminster Service Canada Centre,New Westminster,"620 Royal Ave floor: 2, Suite 201, New Westminster, BC V3M 1J2, Canada",BC,V3M 1J2,49.2048663,-122.9115426,TRUE,
ICBC - The Insurance Corporation of British Columbia,North Vancouver,"151 Esplanade W, North Vancouver, BC V7M 3H9, Canada",BC,V7M 3H9,49.311038200000006,-123.0822379,TRUE,
ICBC Driver Licensing,North Vancouver,"1331 Marine Dr, North Vancouver, BC V7P 3E5, Canada",BC,V7P 3E5,49.3233252,-123.1115285,TRUE,
ICBC Driver Licensing,Port Coquitlam,"1930 Oxford Connector, Port Coquitlam, BC V3B 1A5, Canada",BC,V3B 1A5,49.263234399999995,-122.7679506,TRUE,
ICBC Claim Centre (Claims Services & Road Tests Only),Prince George,"4001 15th Ave, Prince George, BC V2N 2X3, Canada",BC,V2N 2X3,53.909874599999995,-122.7945776,TRUE,
ICBC Driver Licensing (Road Tests and Enhanced Licences Only),Prince George,"4001 15th Ave, Prince George, BC V2N 2X3, Canada",BC,V2N 2X3,53.909807,-122.794605,TRUE,
Technical Safety BC,Prince George,"2977 Ferry Ave, Prince George, BC V2N 1L3, Canada",BC,V2N 1L3,53.887978999999994,-122.7877953,TRUE,
ICBC Claim Centre,Richmond,"7200 Elmbridge Way, Richmond, BC V6X 2Y1, Canada",BC,V6X 2Y1,49.1715835,-123.145773,TRUE,
ICBC Driver Licensing,Richmond,"5300 Number 3 Rd #402, Richmond, BC V6X 2X9, Canada",BC,V6X 2X9,49.175914,-123.1309482,TRUE,
BC Driver Licensing,Surrey,"14070 152 St, Surrey, BC V3S 3M4, Canada",BC,V3S 3M4,49.151351299999995,-122.8011591,TRUE,
ICBC Claim Centre,Surrey,"13665 68 Ave, Surrey, BC V3W 0Y6, Canada",BC,V3W 0Y6,49.126509399999996,-122.843602,TRUE,
ICBC Claim Centre,Surrey,"10262 152A St, Surrey, BC V3R 7A2, Canada",BC,V3R 7A2,49.189132799999996,-122.798019,TRUE,
ICBC Driver Licensing,Surrey,"13426 78 Ave, Surrey, BC V3W 8J6, Canada",BC,V3W 8J6,49.1442078,-122.8505992,TRUE,
ICBC Driver Licensing,Surrey,"10470 152 St, Surrey, BC V3R 0Y3, Canada",BC,V3R 0Y3,49.1924644,-122.8001808,TRUE,
ICBC Road Test Centre,Surrey,"15285 101 Ave, Surrey, BC V3R 9V8, Canada",BC,V3R 9V8,49.186769999999996,-122.7987861,TRUE,
ICBC Claim Centre,Vancouver,"999 Kingsway, Vancouver, BC V5V 4Z7, Canada",BC,V5V 4Z7,49.2545801,-123.0847757,TRUE,
ICBC Claim Centre,Vancouver,"456 W 5th Ave, Vancouver, BC V5Y 3Z3, Canada",BC,V5Y 3Z3,49.26654140000001,-123.1135877,TRUE,
ICBC Driver Licensing,Vancouver,"1055 W Georgia St Suite 221, Vancouver, BC V6E 3R5, Canada",BC,V6E 3R5,49.285306999999996,-123.1215874,TRUE,
ICBC Driver Licensing,Vancouver,"2750 Commercial Dr, Vancouver, BC V5N 5P4, Canada",BC,V5N 5P4,49.260095,-123.0694833,TRUE,
ICBC Driver Licensing,Vancouver,"4126 Macdonald St, Vancouver, BC V6L 2P2, Canada",BC,V6L 2P2,49.2498201,-123.1675347,TRUE,
ICBC,Victoria,"910 Government St #2F, Victoria, BC V8W 3E2, Canada",BC,V8W 3E2,48.4239994,-123.368866,TRUE,
ICBC Claim Centre,Victoria,"425 Dunedin St, Victoria, BC V8T 2K1, Canada",BC,V8T 2K1,48.4407647,-123.3754788,TRUE,
ICBC Driver Licensing,Victoria,"1150 McKenzie Ave #1, Victoria, BC V8P 5P5, Canada",BC,V8P 5P5,48.471315499999996,-123.3606209,TRUE,
ICBC Driver Licensing,Victoria,"955 Wharf St, Victoria, BC V8P 2L7, Canada",BC,V8P 2L7,48.4239666,-123.3694388,TRUE,
