name,city,address,province,postal_code,latitude,longitude,is_active,notes
Lacombe Registries Ltd,Lacombe,"5033 52 St Unit 201, Lacombe, AB T4L 1H9, Canada",AB,T4L 1H9,52.464506099999994,-113.733328,TRUE,
Sylvan Lake Registry Services,Sylvan Lake,"150 Pelican Pl, Sylvan Lake, AB T4S 1K2, Canada",AB,T4S 1K2,52.298179,-114.095952,TRUE,
Airdrie Registry,Airdrie,"128 Edmonton Trail NE, Airdrie, AB T4B 1S1, Canada",AB,T4B 1S1,51.292122000000006,-114.0008951,TRUE,
A-Plus Registry Services Ltd,Calgary,"3604 52 Ave NW, Calgary, AB T2L 1V9, Canada",AB,T2L 1V9,51.1016821,-114.1382577,TRUE,
Calgary Registry Services,Calgary,"5149 Country Hills Blvd NW, Calgary, AB T3A 5K8, Canada",AB,T3A 5K8,51.1376649,-114.1575301,TRUE,
Country Hills Plates - Registry Calgary,Calgary,"450 Country Hills Blvd NE #128, Calgary, AB T3K 5A5, Canada",AB,T3K 5A5,51.155318099999995,-114.0593167,TRUE,
Crowfoot Plates Registry Inc,Calgary,"49 Crowfoot Way NW, Calgary, AB T3G 2L4, Canada",AB,T3G 2L4,51.1239468,-114.2016035,TRUE,
McKnight Registry,Calgary,"425 Aviation Rd NE #118, Calgary, AB T2E 7H8, Canada",AB,T2E 7H8,51.096535300000006,-114.0307213,TRUE,
New Urban Registry,Calgary,"1138 10 Ave SW, Calgary, AB T2R 0B6, Canada",AB,T2R 0B6,51.044226599999995,-114.0880438,TRUE,
Northeast Registries - Marlborough,Calgary,"1440 52 St NE #244, Calgary, AB T2A 4T8, Canada",AB,T2A 4T8,51.064573599999996,-113.9558587,TRUE,
Northeast Registries - Sunridge,Calgary,"2766 32 St NE, Calgary, AB T1Y 6J7, Canada",AB,T1Y 6J7,51.0785291,-113.9880841,TRUE,
Northeast Registries-Taradale,Calgary,"5850 88 Ave NE #5120, Calgary, AB T3J 0Z7, Canada",AB,T3J 0Z7,51.1334925,-113.9499596,TRUE,
NW Registry,Calgary,"12024 Symons Valley Rd NW Unit 140, Calgary, AB T3P 0A3, Canada",AB,T3P 0A3,51.162345300000005,-114.1241674,TRUE,
Registries Direct Inc.,Calgary,"2400 Centre a St NE #5, Calgary, AB T2E 2T9, Canada",AB,T2E 2T9,51.073754,-114.0619447,TRUE,
Registry @ South Trail Crossing Ltd,Calgary,"4307 130 Ave SE #66, Calgary, AB T2Z 4Y3, Canada",AB,T2Z 4Y3,50.9292807,-113.9720954,TRUE,
Registry @ West 85th,Calgary,"8560 8A Ave SW #405, Calgary, AB T3H 1T1, Canada",AB,T3H 1T1,51.062188299999995,-114.2097591,TRUE,
Registry At Marda Loop,Calgary,"2106 33 Ave SW, Calgary, AB T2T 1Z6, Canada",AB,T2T 1Z6,51.0242473,-114.1098563,TRUE,
Registry Express,Calgary,"1632 14 Ave NW #1841, Calgary, AB T2N 1M7, Canada",AB,T2N 1M7,51.0655206,-114.1023095,TRUE,
Registry Services,Calgary,"19587 Seton Crescent SE #610, Calgary, AB T3M 2T5, Canada",AB,T3M 2T5,50.8796043,-113.959587,TRUE,
Riverbend Registries,Calgary,"8338 18 St SE Unit 318, Calgary, AB T2C 4K4, Canada",AB,T2C 4K4,50.977365299999995,-114.0134099,TRUE,
Southland Registrations Ltd,Calgary,"9705 Horton Rd SW #106B, Calgary, AB T2V 2X5, Canada",AB,T2V 2X5,50.9677036,-114.0758683,TRUE,
The Registry Depot,Calgary,"3012 17 Ave SE #4, Calgary, AB T2A 0P7, Canada",AB,T2A 0P7,51.0387286,-113.9907295,TRUE,
Chestermere Lake Registry,Chestermere,"100 Marina Dr #402, Chestermere, AB T1X 0R9, Canada",AB,T1X 0R9,51.047973,-113.8291683,TRUE,
Cochrane Plates Licensing & Registries,Cochrane,"7, 214 Grande Blvd W, Cochrane, AB T4C 1A9, Canada",AB,T4C 1A9,51.186448899999995,-114.4746452,TRUE,
Abbey Road Registries Ltd,Edmonton,"13322 118 Ave NW, Edmonton, AB T5L 2L8, Canada",AB,T5L 2L8,53.5707004,-113.5520276,TRUE,
Alberta One-Stop Registry Ltd,Edmonton,"12804 137 Ave NW, Edmonton, AB T6V 1G6, Canada",AB,T6V 1G6,53.6006666,-113.5420147,TRUE,
All Licenses Ltd.,Edmonton,"969 Tamarack Way NW, Edmonton, AB T6T 0X2, Canada",AB,T6T 0X2,53.4808889,-113.3670755,TRUE,
Armour Registry Office,Edmonton,"5754 75 Street NW, Edmonton, AB T6E 5X6, Canada",AB,T6E 5X6,53.494689699999995,-113.4433996,TRUE,
Callingwood Registry,Edmonton,"6655 178 St NW #230, Edmonton, AB T5T 4J5, Canada",AB,T5T 4J5,53.500702999999994,-113.6286043,TRUE,
Capilano Registry,Edmonton,"5055 101 Ave NW #160, Edmonton, AB T6A 0G7, Canada",AB,T6A 0G7,53.5390738,-113.423066,TRUE,
Edmonton Registry Services (South) Inc.,Edmonton,"9111 34a Ave NW, Edmonton, AB T6E 5T6, Canada",AB,T6E 5T6,53.46682380000001,-113.4683564,TRUE,
Ellerslie Registries,Edmonton,"971 James Mowatt Trail SW, Edmonton, AB T6W 1S4, Canada",AB,T6W 1S4,53.4234417,-113.5141541,TRUE,
In & Out Registry / North Central,Edmonton,"12804 82 St NW, Edmonton, AB T5E 2T2, Canada",AB,T5E 2T2,53.586248999999995,-113.468005,TRUE,
In & Out Registry / North East Edmonton,Edmonton,"13058 50 St NW, Edmonton, AB T5A 4V9, Canada",AB,T5A 4V9,53.591944600000005,-113.4177391,TRUE,
Millwoods Registry Services Ltd.,Edmonton,"6410 28 Ave NW, Edmonton, AB T6L 6N3, Canada",AB,T6L 6N3,53.459134999999996,-113.4296335,TRUE,
